sku,name,description,category,price,currency,stock_qty,tags,use_cases,compatibility,specifications
TN-KB-001,Nova Mechanical Keyboard,"Hot-swappable mechanical keyboard with per-key RGB and tactile brown switches, built for long gaming and typing sessions.",Keyboards,3499,INR,140,mechanical;rgb;gaming;hot-swappable,gaming;office;streaming setup,Windows;macOS;Linux,"{""switch_type"": ""Tactile Brown"", ""backlight"": ""Per-key RGB"", ""connectivity"": ""USB-C wired"", ""layout"": ""TKL""}"
TN-MOUSE-001,Pro Wireless Gaming Mouse,"Lightweight wireless gaming mouse with a 26,000 DPI optical sensor and 70-hour battery life.",Mice,1499,INR,210,wireless;gaming;lightweight,gaming;office,Windows;macOS;Linux,"{""dpi"": ""26000"", ""connectivity"": ""2.4GHz wireless + Bluetooth"", ""weight_g"": ""63"", ""battery_life_hours"": ""70""}"
TN-HEADSET-001,Aero Gaming Headset,Over-ear gaming headset with 7.1 surround sound and a noise-cancelling detachable mic.,Audio,2999,INR,95,headset;surround-sound;streaming,gaming;streaming;calls,PC;PS5;Xbox;Switch,"{""driver_size_mm"": ""50"", ""surround"": ""7.1 virtual"", ""mic"": ""Detachable, noise-cancelling"", ""connectivity"": ""USB / 3.5mm""}"
TN-CAM-001,ClearView 1080p Webcam,"1080p60 webcam with autofocus and a built-in privacy shutter, tuned for streaming and calls.",Webcams,1999,INR,70,webcam;streaming;1080p,streaming;calls;content creation,Windows;macOS;OBS;Zoom,"{""resolution"": ""1080p60"", ""fov_degrees"": ""90"", ""autofocus"": ""Yes"", ""privacy_shutter"": ""Yes""}"
TN-STAND-001,Elevate Aluminum Laptop Stand,Adjustable aluminum laptop stand that improves airflow and posture at a desk.,Desk Accessories,1299,INR,160,laptop;ergonomic;desk setup,office;wfh;productivity,11-17 inch laptops,"{""material"": ""Aluminum"", ""adjustable_height"": ""Yes"", ""max_load_kg"": ""10"", ""foldable"": ""Yes""}"
TN-HUB-001,Nexus 7-in-1 USB-C Hub,"7-in-1 USB-C hub with HDMI 4K60, SD/microSD, and 100W passthrough charging.",Desk Accessories,1599,INR,130,usb-c;hub;productivity,office;wfh;travel,USB-C laptops;MacBook;Windows laptops,"{""ports"": ""HDMI, 2x USB-A, SD, microSD, USB-C PD"", ""hdmi_output"": ""4K@60Hz"", ""pd_charging_w"": ""100""}"
TN-LIGHT-001,Halo Monitor Light Bar,"Asymmetric screen light bar with adjustable warmth and brightness, glare-free on the display.",Lighting,1799,INR,100,lighting;desk setup;eye-comfort,office;streaming;gaming,Flat and curved monitors up to 27 inch,"{""mount"": ""Monitor clip-on"", ""color_temp_range_k"": ""2700-6500"", ""control"": ""Wired dial + remote""}"
TN-MAT-001,Terrain XL Desk Mat,Extended stitched-edge desk mat with a smooth glide surface for mouse and keyboard.,Desk Accessories,899,INR,180,desk-mat;mousepad;desk setup,gaming;office,Standard desks,"{""size_cm"": ""90x40"", ""material"": ""Cloth top, rubber base"", ""edges"": ""Stitched""}"
TN-CTRL-001,Orbit Wireless Controller,Wireless controller with hall-effect thumbsticks and programmable back paddles.,Controllers,2499,INR,85,controller;wireless;gaming,console gaming;pc gaming;cloud gaming,PC;PS5;Switch;Android,"{""connectivity"": ""Bluetooth + 2.4GHz dongle"", ""battery_life_hours"": ""20"", ""paddles"": ""2 programmable""}"
TN-SSD-001,DriveX 1TB Portable SSD,Pocket-sized 1TB NVMe portable SSD with read speeds up to 1050MB/s.,Storage,4999,INR,60,storage;ssd;portable,gaming;content creation;backup,PC;Mac;PS5;Xbox,"{""capacity_gb"": ""1000"", ""interface"": ""USB 3.2 Gen 2"", ""read_speed_mbps"": ""1050"", ""write_speed_mbps"": ""1000""}"
TN-MON-001,"Vantage 27"" 165Hz Gaming Monitor",27-inch QHD IPS gaming monitor with a 165Hz refresh rate and 1ms response time.,Monitors,18999,INR,35,monitor;gaming;qhd;high-refresh,gaming;content creation,HDMI 2.0;DisplayPort 1.4,"{""size_inch"": ""27"", ""resolution"": ""2560x1440"", ""refresh_rate_hz"": ""165"", ""panel"": ""IPS""}"
TN-COOL-001,Frost Laptop Cooling Pad,Dual-fan laptop cooling pad with quiet operation and adjustable stand angles.,Desk Accessories,1199,INR,120,cooling;laptop;desk setup,gaming;wfh;productivity,12-17 inch laptops,"{""fans"": ""2x 110mm"", ""noise_level_db"": ""< 24"", ""adjustable_angles"": ""5""}"
